x11,x12,x21,x22,x31,x32,x41,x42,x51,x52,x61,x62,x71,x72,x81,x82,x91,x92,x101,x102,x111,x112,x121,x122,x131,x132,x141,x142,x151,x152,x161,x162,x171,x172,x181,x182,target
-0.281183135,-0.02277804,-0.25591506,0.005526356,-0.246235034,0.005239445,-0.197684703,0.009686216,-0.155370488,0.058954028,0.05691678,0.089675309,0.154456133,0.070762669,0.368406097,0.029866178,0.391060923,-0.001548794,0.360213736,-0.033474443,0.26866218,-0.025280675,0.231247287,-0.037219664,0.054382209,-0.052566703,-0.090354589,-0.033943265,-0.096092469,-0.014402737,-0.144649378,0.037155877,-0.172281212,-0.056338891,-0.245579276,-0.029312866,S_macrop
-0.279094672,-0.018664448,-0.250619268,0.006406548,-0.239919919,0.006282544,-0.202131905,0.016712542,-0.156593316,0.05793836,0.063003916,0.088474509,0.15087485,0.067355457,0.359090028,0.03105028,0.388412417,0.001653627,0.366152618,-0.030924605,0.272608218,-0.030140296,0.22315255,-0.041916307,0.081643081,-0.043962966,-0.100366163,-0.039838313,-0.110279992,-0.017194545,-0.14351787,0.041645939,-0.177596535,-0.06129125,-0.244818039,-0.033587074,S_macrop
-0.279741076,-0.01230293,-0.255497452,0.006616198,-0.241066495,0.008622408,-0.193890842,0.011102216,-0.159598551,0.066123278,0.046797412,0.094158286,0.132063565,0.06954256,0.365161622,0.032645945,0.394898811,0.000849628,0.368323481,-0.030259066,0.268348401,-0.030784763,0.228912951,-0.042527093,0.072045496,-0.054573675,-0.092467561,-0.048632062,-0.101362883,-0.026260218,-0.135943616,0.037458943,-0.167207511,-0.056017523,-0.249775751,-0.025762132,S_macrop
-0.285158751,-0.019861511,-0.257454014,0.005579274,-0.245185991,0.005350081,-0.190758974,0.006739566,-0.154634321,0.069715187,0.054479908,0.101756041,0.131990182,0.083780741,0.36521727,0.028947308,0.389067519,-0.008310226,0.361668057,-0.031247465,0.272883855,-0.032669964,0.232715186,-0.042167473,0.073854865,-0.048143129,-0.10038795,-0.04121464,-0.105497698,-0.024053251,-0.129497269,0.03272648,-0.170237639,-0.057672877,-0.243064234,-0.029254143,S_macrop
-0.275118262,-0.0171799,-0.255829205,0.00588872,-0.243041196,0.00742147,-0.196289979,0.012775319,-0.152922858,0.059282576,0.061269543,0.086153283,0.13186825,0.067423519,0.364113699,0.031904347,0.397516959,0.00337875,0.368589176,-0.030820118,0.269921552,-0.035911162,0.228355794,-0.042092794,0.07260934,-0.041304626,-0.102278949,-0.03482706,-0.110988677,-0.019605615,-0.14586601,0.03288869,-0.171872565,-0.055240377,-0.240036611,-0.030135021,S_macrop
-0.288463872,-0.019607347,-0.258421882,-9.12E-05,-0.246034544,0.000374787,-0.196676022,0.0068172,-0.158627049,0.070240562,0.061162195,0.100530727,0.142493107,0.075563392,0.363947226,0.025100965,0.397012603,-0.011321382,0.363068152,-0.036949843,0.263141096,-0.030146065,0.216919375,-0.034646395,0.07576246,-0.031218931,-0.083844423,-0.038106524,-0.095117079,-0.019235889,-0.141830885,0.038722438,-0.167084808,-0.059597875,-0.247405651,-0.03642861,S_macrop
-0.278938277,-0.016288081,-0.255094398,0.007147264,-0.243226876,0.007582071,-0.196042178,0.011840333,-0.150726542,0.064820401,0.062954822,0.095187853,0.148464196,0.071687132,0.349979549,0.037776519,0.392192979,0.001507181,0.376400985,-0.029559572,0.268178055,-0.031920174,0.22686439,-0.039375924,0.061217357,-0.065377975,-0.099741406,-0.044524043,-0.10766929,-0.022409812,-0.135720663,0.036240213,-0.168354844,-0.059187056,-0.250737858,-0.02514633,S_macrop
-0.282722529,-0.017811179,-0.255099815,0.007552389,-0.241635585,0.011113017,-0.194891498,0.014682163,-0.15418383,0.063879628,0.069947384,0.09498631,0.15090934,0.07314884,0.362296026,0.035934314,0.382599645,0.003028268,0.364185177,-0.027855099,0.274849728,-0.029373811,0.235872638,-0.041213385,0.047891585,-0.066375808,-0.102297706,-0.048295608,-0.108484637,-0.022143201,-0.138169435,0.038742175,-0.168015405,-0.0607595,-0.243051082,-0.029239513,S_macrop
-0.277000331,-0.019291997,-0.250769437,0.004802812,-0.237435757,0.006436644,-0.195035012,0.006967817,-0.153666189,0.062899284,0.045454142,0.100389734,0.129209595,0.080566484,0.364902623,0.028700858,0.398084692,-0.001643501,0.375197918,-0.035278403,0.269093918,-0.033817955,0.226580365,-0.04105342,0.065261449,-0.055120911,-0.103508111,-0.040463248,-0.110021675,-0.016530593,-0.139382238,0.040007835,-0.167201873,-0.058191137,-0.239764078,-0.029380302,S_macrop
-0.280665633,-0.013753375,-0.256440051,0.005305262,-0.244805667,0.00445541,-0.198029348,0.006034022,-0.155014356,0.070058992,0.059272869,0.093864849,0.134617535,0.071952959,0.365114095,0.032899853,0.388605336,0.000121908,0.366480524,-0.032122473,0.269970554,-0.033720562,0.228796034,-0.04174263,0.073657457,-0.049872618,-0.086173477,-0.042000096,-0.108750928,-0.023696736,-0.140925176,0.033239126,-0.168311543,-0.051818922,-0.247398226,-0.029204969,S_macrop
